X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,ID,clusterID
3954329,4012852,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9639,3
3954321,4012837,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9642,3
3954313,4012826,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9645,3
3954314,4012810,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9651,3
3954301,4012813,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9654,3
3954280,4012815,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9660,3
3954309,4012852,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9663,3
3954316,4012862,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9666,3
3954238,4012808,650,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16130,3
3954227,4012810,715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16135,3
3954211,4012832,864,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19428,3
3951996,4012643,440,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5952,3
3955329,4013882,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15416,3
3955255,4014013,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8278,3
3955268,4014018,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16558,3
3955284,4013973,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16564,3
3955216,4014067,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8593,3
3955249,4013796,636,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21222,8
3955235,4013789,708,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21225,8
3955211,4013799,702,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21228,8
3955220,4013781,720,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21231,8
3955264,4013803,657,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21315,8
3955293,4013818,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7397,3
3955279,4013809,564,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22194,8
3955256,4013819,591,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22197,8
3955240,4013815,681,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22200,8
3955226,4013807,705,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22203,8
3954815,4014736,2772,0,0,0,0,1,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,172046,3
3954145,4014907,44,0,0,0,0,0,0,0,0,0,0,1,11,0,2,1,0,0,0,0,0,281292,3
